,Ex-Showroom/ On-Road,Price,company,model,variant
262,Chennai,Rs.17.59 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
263,Ahmedabad,Rs.15.88 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
264,Lucknow,Rs.16.43 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
265,Jaipur,Rs.16.74 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
266,Patna,Rs.16.58 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
267,Chandigarh,Rs.16.43 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
268,Ex-Showroom Price,"Rs.13,81,790",TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
269,Bangalore,Rs.16.94 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
270,Mumbai,Rs.16.25 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
271,Pune,Rs.16.25 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
272,Hyderabad,Rs.16.94 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
273,Chennai,Rs.17.08 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
274,Ahmedabad,Rs.15.42 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
275,Lucknow,Rs.15.96 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
276,Jaipur,Rs.16 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
277,Patna,Rs.16.10 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
278,Chandigarh,Rs.15.96 Lakh*,TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA
279,Ex-Showroom Price,"Rs.10,99,000",TOYOTA,HYRYDER,Urban Cruiser Hyryder E
280,Bangalore,Rs.13.71 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
281,Mumbai,Rs.13.27 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
282,Pune,Rs.13.27 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
